counter,timestamp,timediff_us,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7,crc
228,70,45355,45352,45369,45363,45357,45357,57,51,16202
229,76,45356,45352,45369,45362,45358,45356,56,52,65246
230,70,45356,45351,45369,45362,45357,45356,55,52,42222
231,69,45355,45351,45368,45362,45357,45357,55,52,8777
232,70,45356,45351,45369,45362,45359,45357,56,51,56643
233,70,45355,45351,45369,45362,45359,45357,56,52,19038
234,70,45355,45352,45368,45362,45358,45358,56,51,46731
235,69,45355,45352,45367,45363,45358,45358,56,51,49623
236,70,45354,45351,45369,45362,45358,45357,57,52,43632
237,70,45355,45351,45368,45363,45358,45357,57,52,43328
238,69,45355,45353,45369,45362,45357,45356,57,52,26882
239,70,45356,45352,45369,45362,45358,45356,57,52,10521
240,70,45356,45351,45369,45362,45358,45357,55,51,31403
241,70,45356,45351,45368,45362,45358,45357,56,52,2058
242,69,45357,45351,45369,45362,45358,45357,56,51,42900
243,76,45356,45351,45368,45362,45358,45358,57,52,1578
244,70,45356,45351,45367,45363,45358,45357,56,51,43362
245,70,45356,45351,45369,45362,45359,45356,55,52,5958
246,69,45355,45352,45369,45362,45359,45356,56,52,62120
247,70,45355,45351,45368,45362,45357,45356,56,50,57793
248,70,45355,45351,45369,45361,45357,45357,56,52,40127
249,69,45355,45352,45368,45362,45358,45358,56,53,20453
250,70,45354,45351,45369,45361,45358,45357,56,51,17285
251,70,45356,45351,45368,45362,45359,45357,56,52,17557
252,70,45355,45352,45369,45362,45358,45358,56,52,28530
