SoC,R0,R1,R2,C1,C2,A1,A2
90.257,0.17880898685115737,-0.07410219037746864,0.02087847419483926,-698.3586326742635,21728.899586097283,0.278528421683663,-1.103602000524882
90.258,0.17881682948547845,-0.07410661166474412,0.02087992160198387,-698.3163183489031,21727.434247767327,0.27851836465569746,-1.103651535110601
90.259,0.1788246724309417,-0.07411103310431276,0.020881369091311535,-698.2740076918725,21725.9690301445,0.27850830727821174,-1.1037010709020734
90.26,0.17883251568755454,-0.07411545469617778,0.020882816662824818,-698.2317007027507,21724.503933218468,0.278498249551201,-1.1037506078993127
90.261,0.1788403592553247,-0.07411987644034233,0.02088426431652629,-698.1893973811179,21723.03895697892,0.2784881914746608,-1.1038001461023326
90.262,0.17884820313425998,-0.07412429833680985,0.020885712052418594,-698.1470977265514,21721.574101415456,0.27847813304858593,-1.1038496855111484
90.263,0.17885604732436794,-0.07412872038558348,0.020887159870504303,-698.1048017386311,21720.10936651775,0.2784680742729717,-1.1038992261257736
90.264,0.1788638918256561,-0.07413314258666642,0.020888607770785984,-698.0625094169368,21718.644752275497,0.27845801514781354,-1.1039487679462214
90.265,0.17887173663813238,-0.07413756494006207,0.020890055753266284,-698.0202207610465,21717.180258678287,0.27844795567310626,-1.1039983109725078
90.266,0.1788795817618044,-0.07414198744577363,0.02089150381794776,-697.9779357705398,21715.71588571582,0.27843789584884526,-1.104047855204646
90.267,0.17888742719667966,-0.07414641010380427,0.020892951964833,-697.935654444997,21714.251633377764,0.2784278356750258,-1.1040974006426494
90.268,0.17889527294276608,-0.07415083291415739,0.020894400193924637,-697.8933767839961,21712.787501653736,0.2784177751516428,-1.1041469472865335
90.269,0.1789031190000711,-0.07415525587683613,0.02089584850522524,-697.8511027871175,21711.323490533417,0.2784077142786917,-1.1041964951363117
90.27,0.17891096536860246,-0.07415967899184374,0.020897296898737382,-697.808832453941,21709.859600006497,0.2783976530561677,-1.1042460441919975
90.271,0.1789188120483679,-0.07416410225918359,0.02089874537446371,-697.7665657840449,21708.395830062575,0.27838759148406583,-1.1042955944536061
90.272,0.1789266590393751,-0.07416852567885886,0.02090019393240679,-697.7243027770097,21706.932180691347,0.2783775295623813,-1.1043451459211517
90.273,0.1789345063416315,-0.07417294925087276,0.020901642572569195,-697.6820434324156,21705.468651882496,0.2783674672911095,-1.1043946985946473
90.274,0.17894235395514507,-0.07417737297522864,0.020903091294953564,-697.6397877498413,21704.00524362564,0.2783574046702454,-1.104444252474108
90.275,0.17895020187992333,-0.07418179685192972,0.020904540099562472,-697.5975357288671,21702.541955910463,0.27834734169978426,-1.104493807559548
90.276,0.17895805011597382,-0.07418622088097919,0.02090598898639849,-697.5552873690735,21701.07878872665,0.2783372783797214,-1.1045433638509803
90.277,0.17896589866330453,-0.0741906450623804,0.020907437955464254,-697.5130426700396,21699.61574206383,0.27832721471005173,-1.1045929213484202
90.278,0.1789737475219229,-0.07419506939613658,0.020908887006762338,-697.4708016313456,21698.152815911682,0.2783171506907707,-1.1046424800518817
90.279,0.17898159669183655,-0.0741994938822509,0.02091033614029532,-697.4285642525725,21696.6900102599,0.2783070863218734,-1.1046920399613778
90.28,0.17898944617305335,-0.07420391852072676,0.020911785356065832,-697.386330533299,21695.227325098098,0.27829702160335495,-1.104741601076924
90.281,0.17899729596558084,-0.07420834331156735,0.02091323465407645,-697.3441004731059,21693.76476041598,0.27828695653521063,-1.1047911633985341
90.282,0.1790051460694267,-0.07421276825477584,0.020914684034329747,-697.3018740715744,21692.302316203226,0.27827689111743575,-1.104840726926221
90.283,0.17901299648459862,-0.07421719335035563,0.020916133496828367,-697.2596513282833,21690.839992449462,0.2782668253500252,-1.104890291660001
90.284,0.17902084721110434,-0.07422161859830992,0.020917583041574875,-697.2174322428139,21689.377789144382,0.2782567592329744,-1.1049398575998868
90.285,0.17902869824895135,-0.07422604399864188,0.02091903266857184,-697.175216814747,21687.91570627769,0.2782466927662786,-1.104989424745892
90.286,0.17903654959814747,-0.07423046955135491,0.02092048237782192,-697.133005043662,21686.453743838993,0.2782366259499327,-1.1050389930980324
90.287,0.17904440125870036,-0.07423489525645219,0.020921932169327667,-697.0907969291404,21684.991901818,0.27822655878393215,-1.1050885626563212
90.288,0.17905225323061758,-0.07423932111393691,0.020923382043091677,-697.0485924707631,21683.53018020439,0.2782164912682721,-1.1051381334207717
90.289,0.17906010551390694,-0.07424374712381247,0.02092483199911656,-697.0063916681096,21682.068578987815,0.27820642340294766,-1.1051877053913999
90.29,0.17906795810857606,-0.07424817328608206,0.020926282037404917,-696.9641945207613,21680.60709815795,0.27819635518795394,-1.1052372785682187
90.291,0.1790758110146325,-0.07425259960074888,0.020927732157959306,-696.9220010282996,21679.145737704504,0.2781862866232864,-1.1052868529512418
90.292,0.17908366423208405,-0.07425702606781627,0.020929182360782367,-696.8798111903046,21677.684497617112,0.27817621770894,-1.105336428540485
90.293,0.17909151776093846,-0.07426145268728747,0.020930632645876683,-696.8376250063575,21676.223377885457,0.27816614844491006,-1.105386005335961
90.294,0.17909937160120315,-0.07426587945916564,0.020932083013244816,-696.79544247604,21674.762378499254,0.27815607883119176,-1.1054355833376837
90.295,0.17910722575288607,-0.07427030638345418,0.020933533462889415,-696.753263598932,21673.301499448124,0.2781460088677801,-1.1054851625456685
90.296,0.1791150802159947,-0.07427473346015628,0.020934983994813045,-696.7110883746151,21671.84074072178,0.27813593855467056,-1.105534742959929
90.297,0.17912293499053672,-0.07427916068927512,0.02093643460901828,-696.6689168026714,21670.380102309915,0.27812586789185817,-1.1055843245804786
90.298,0.17913079007651989,-0.0742835880708141,0.02093788530550777,-696.6267488826809,21668.91958420216,0.2781157968793381,-1.1056339074073327
90.299,0.17913864547395186,-0.07428801560477642,0.02093933608428408,-696.5845846142253,21667.459186388234,0.27810572551710555,-1.1056834914405045
90.3,0.1791465011828402,-0.07429244329116524,0.02094078694534978,-696.5424239968868,21665.99890885783,0.27809565380515594,-1.1057330766800078
90.301,0.17915435720319278,-0.07429687112998398,0.02094223788870752,-696.5002670302456,21664.538751600587,0.2780855817434841,-1.1057826631258585
90.302,0.17916221353501716,-0.07430129912123581,0.020943688914359868,-696.4581137138837,21663.078714606203,0.27807550933208536,-1.1058322507780691
90.303,0.17917007017832082,-0.07430572726492393,0.020945140022309395,-696.4159640473836,21661.618797864397,0.2780654365709551,-1.1058818396366534
90.304,0.17917792713311181,-0.07431015556105171,0.020946591212558745,-696.3738180303255,21660.159001364806,0.27805536346008825,-1.1059314297016274
90.305,0.17918578439939759,-0.07431458400962236,0.020948042485110497,-696.3316756622918,21658.699325097125,0.2780452899994801,-1.1059810209730037
90.306,0.17919364197718574,-0.07431901261063906,0.020949493839967217,-696.289536942865,21657.239769051073,0.27803521618912597,-1.1060306134507962
90.307,0.1792014998664841,-0.07432344136410522,0.020950945277131545,-696.2474018716251,21655.78033321629,0.27802514202902073,-1.1060802071350206
90.308,0.17920935806730032,-0.07432787027002398,0.020952396796606054,-696.2052704481556,21654.32101758249,0.27801506751915983,-1.1061298020256902
90.309,0.1792172165796419,-0.07433229932839859,0.02095384839839332,-696.1631426720381,21652.861822139377,0.27800499265953854,-1.106179398122818
90.31,0.1792250754035168,-0.0743367285392324,0.02095530008249599,-696.1210185428541,21651.40274687659,0.2779949174501517,-1.10622899542642
90.311,0.17923293453893252,-0.07434115790252861,0.02095675184891663,-696.0788980601859,21649.943791783844,0.2779848418909948,-1.1062785939365096
90.312,0.1792407939858966,-0.07434558741829043,0.020958203697657815,-696.0367812236163,21648.48495685086,0.27797476598206305,-1.1063281936531
90.313,0.179248653744417,-0.07435001708652121,0.020959655628722183,-695.9946680327265,21647.02624206728,0.2779646897233514,-1.106377794576207
90.31400000000001,0.1792565138145013,-0.07435444690722418,0.02096110764211231,-695.9525584870992,21645.567647422813,0.27795461311485514,-1.106427396705844
90.315,0.17926437419615693,-0.07435887688040249,0.020962559737830778,-695.9104525863173,21644.109172907178,0.27794453615656967,-1.1064770000420239
90.316,0.17927223488939192,-0.07436330700605957,0.02096401191588022,-695.868350329962,21642.650818510014,0.27793445884848983,-1.1065266045847626
90.31700000000001,0.1792800958942138,-0.07436773728419858,0.02096546417626321,-695.8262517176165,21641.192584221048,0.277924381190611,-1.106576210334074
90.318,0.17928795721063007,-0.07437216771482272,0.02096691651898232,-695.784156748864,21639.73447002999,0.27791430318292853,-1.1066258172899708
90.319,0.1792958188386487,-0.07437659829793539,0.02096836894404019,-695.7420654232853,21638.276475926505,0.2779042248254373,-1.1066754254524689
90.32000000000001,0.17930368077827719,-0.07438102903353976,0.02096982145143941,-695.6999777404642,21636.818601900282,0.27789414611813257,-1.1067250348215814
90.321,0.17931154302952318,-0.07438545992163904,0.020971274041182538,-695.6578936999838,21635.36084794106,0.2778840670610098,-1.1067746453973222
