Time Stamp,Voltage,Last Stable Current
4383104,56.28689509,
4383136,56.2823415,
4383167,56.2823415,
4383294,56.28689509,
4383426,56.28689509,
4383458,56.28917188,
4383489,56.28689509,
4383521,56.28461829,
4383552,56.2823415,
4383584,56.2823415,
4383615,56.28461829,
4383646,56.28461829,
4383678,56.28461829,
4383709,56.28461829,
4383741,56.28461829,
4383772,56.28461829,
4383804,56.28461829,
4383835,56.28689509,
4383867,56.28689509,
4383898,56.2823415,
4383929,56.28461829,
4383961,56.28689509,
4383992,56.28461829,
4384113,56.28689509,
4384244,56.28689509,
4384277,56.28006471,
4384308,56.28689509,
4384339,56.28461829,
4384371,56.28461829,
4384403,56.28461829,
4384434,56.28461829,
4384465,56.28461829,
4384497,56.28689509,
4384528,56.28689509,
4384559,56.2823415,
4384591,56.28461829,
4384622,56.28461829,
4384654,56.28461829,
4384685,56.28461829,
4384717,56.28461829,
4384748,56.28461829,
4384780,56.2823415,
4384811,56.2823415,
4384921,56.28461829,
4385052,56.28689509,
4385084,56.28689509,
4385116,56.28689509,
4385147,56.28461829,
4385178,56.28689509,
4385210,56.28461829,
4385242,56.2823415,
4385273,56.28461829,
4385305,56.28461829,
4385336,56.28689509,
4385367,56.28006471,
4385399,56.28461829,
4385430,56.28689509,
4385461,56.28461829,
4385493,56.28461829,
4385524,56.28689509,
4385556,56.2823415,
4385587,56.28461829,
4385619,56.28689509,
4385742,56.28461829,
4385872,56.2823415,
4385904,56.2823415,
4385936,56.2823415,
4385967,56.28461829,
4385999,56.2823415,
4386030,56.2823415,
4386062,56.28461829,
4386093,56.2823415,
4386125,56.28461829,
4386156,56.2823415,
4386187,56.28461829,
4386219,56.2823415,
4386250,56.28461829,
4386282,56.28461829,
4386313,56.2823415,
4386345,56.2823415,
4386376,56.28689509,
4386407,56.28689509,
4386439,56.28689509,
4386562,56.2823415,
4386693,56.28461829,
4386725,56.28461829,
4386757,56.2823415,
4386788,56.2823415,
4386819,56.28461829,
4386851,56.28689509,
4386883,56.28461829,
4386914,56.28689509,
4386946,56.28461829,
4386977,56.28461829,
4387008,56.28461829,
4387040,56.28461829,
4387071,56.28461829,
4387102,56.28689509,
4387134,56.28461829,
4387166,56.2823415,
4387197,56.28461829,
4387228,56.28461829,
4387260,56.28461829,
4387400,56.28689509,
4387531,56.28461829,
4387564,56.28689509,
4387595,56.28461829,
4387627,56.28461829,
4387659,56.28461829,
4387690,56.28461829,
4387721,56.28461829,
4387753,56.2823415,
4387784,56.28461829,
4387815,56.28917188,
4387847,56.28689509,
4387878,56.28461829,
4387910,56.28461829,
4387941,56.28461829,
4387973,56.28689509,
4388004,56.2823415,
4388035,56.28461829,
4388067,56.28461829,
4388098,56.28461829,
4388207,56.2823415,
4388339,56.28689509,
4388371,56.28461829,
4388402,56.28461829,
4388434,56.28461829,
4388466,56.2823415,
4388497,56.28461829,
4388528,56.28461829,
4388559,56.28461829,
4388591,56.28689509,
4388622,56.28461829,
4388654,56.2823415,
4388685,56.28461829,
4388717,56.2823415,
4388748,56.28689509,
4388780,56.2823415,
4388811,56.2823415,
4388842,56.28461829,
4388874,56.28461829,
4388905,56.2823415,
4389120,56.28461829,
4389251,56.28461829,
4389283,56.28461829,
4389315,56.2823415,
4389347,56.2823415,
4389378,56.28006471,
4389410,56.28689509,
4389441,56.2823415,
4389472,56.28461829,
4389504,56.28461829,
4389535,56.28461829,
4389567,56.28689509,
4389598,56.28461829,
4389630,56.28461829,
4389661,56.28461829,
4389692,56.2823415,
4389724,56.28461829,
4389755,56.28461829,
4389786,56.28461829,
4389818,56.28461829,
4389943,56.28461829,
4390074,56.2823415,
4390106,56.2823415,
4390137,56.28461829,
4390168,56.28689509,
4390199,56.2823415,
4390231,56.28689509,
4390263,56.28461829,
4390294,56.28689509,
4390326,56.28689509,
4390357,56.28689509,
4390388,56.28461829,
4390420,56.28461829,
4390451,56.28917188,
4390482,56.28689509,
4390514,56.28461829,
4390546,56.28461829,
4390577,56.28461829,
4390608,56.28461829,
4390640,56.28461829,
4390766,56.28689509,
4390897,56.2823415,
4390929,56.28461829,
4390961,56.28461829,
4390992,56.28689509,
4391023,56.28461829,
4391055,56.2823415,
4391087,56.28461829,
4391118,56.28689509,
4391150,56.28461829,
4391181,56.28461829,
4391212,56.2823415,
4391244,56.28461829,
4391275,56.28461829,
4391306,56.28689509,
4391338,56.28689509,
4391369,56.2823415,
4391401,56.28689509,
4391432,56.28461829,
4391464,56.2823415,
4391582,56.28461829,
4391713,56.28461829,
4391745,56.28461829,
4391777,56.28461829,
4391808,56.28689509,
4391839,56.2823415,
4391871,56.2823415,
4391902,56.28689509,
4391933,56.2823415,
4391965,56.28461829,
4391997,56.28689509,
4392028,56.28461829,
4392060,56.2823415,
4392091,56.28461829,
4392122,56.28461829,
4392154,56.28461829,
4392185,56.28461829,
4392216,56.28689509,
4392248,56.28461829,
4392279,56.28461829,
4392402,56.28461829,
4392533,56.28461829,
4392566,56.28689509,
4392597,56.28461829,
4392628,56.28689509,
4392660,56.28689509,
4392691,56.28461829,
4392723,56.28689509,
