date,time,time_passed_since_start,Current Out 1,Current Out 2,Current In 1,Current In 2,Voltage,Lost Data
2026-02-25,14:35:27.053992,83463,-0.082499999,0.982499981,2.793750191,0.95625,57.1725,0
2026-02-25,14:35:27.053992,84550,-0.082499999,1.098750019,2.835000229,1.076249981,57.17025,0
2026-02-25,14:35:27.053992,85639,-0.067500001,1.06875,-0.273749995,1.110000038,57.1725,0
2026-02-25,14:35:27.053992,86727,-0.086249995,0.836250019,2.373750114,0.802500057,57.1725,0
2026-02-25,14:35:32.557103,87864,-0.104999995,0.84375,1.92,0.858749962,57.17475,0
2026-02-25,14:35:32.557103,88951,-0.078750002,0.91875,2.11875,0.858749962,57.17475,0
2026-02-25,14:35:32.557103,90038,-0.104999995,1.139999962,-0.892500019,1.173750019,57.1725,0
2026-02-25,14:35:32.557103,91127,-0.101250005,0.716250038,3.0975,0.67874999,57.1725,0
2026-02-25,14:35:32.557103,92216,-0.101250005,1.13625,-0.76875,1.155000019,57.17025,0
2026-02-25,14:35:38.064030,93360,-0.135000002,1.121250057,-1.064999962,1.1625,57.1725,0
2026-02-25,14:35:38.064030,94451,-0.086249995,0.930000019,1.529999924,0.885000038,57.17475,0
2026-02-25,14:35:38.064030,95538,-0.097500002,1.14375,-0.39375,1.177500057,57.1725,0
2026-02-25,14:35:38.064030,96628,-0.089999998,0.836250019,1.976249886,0.839999962,57.177,0
2026-02-25,14:35:38.064030,97716,-0.097500002,1.0875,0.25875001,1.072499943,57.1725,0
2026-02-25,14:35:43.542813,98871,-0.093750006,0.701249981,3.16125,0.65999999,57.17475,0
2026-02-25,14:35:43.542813,99959,-0.108749998,1.139999962,-0.885000038,1.158749962,57.1725,0
2026-02-25,14:35:43.542813,101048,-0.082499999,0.8325,1.248750019,0.911250019,57.17475,0
2026-02-25,14:35:43.542813,102136,-0.082499999,0.791250038,2.711249924,0.738750029,57.177,0
2026-02-25,14:35:43.542813,103223,-0.06375,1.155000019,-1.410000038,1.185000038,57.1725,0
2026-02-25,14:35:49.031027,104360,-0.089999998,1.091250038,0.142499995,1.072499943,57.1725,0
2026-02-25,14:35:49.031027,105446,-0.123749995,1.13625,-1.376249981,1.173750019,57.1725,0
2026-02-25,14:35:49.031027,106537,-0.089999998,0.780000019,2.66625,0.794999981,57.1725,0
2026-02-25,14:35:49.031027,107624,-0.13125,1.132499981,-1.185000038,1.155000019,57.1725,0
2026-02-25,14:35:49.031027,108713,-0.097500002,0.885000038,1.402499962,0.9,57.1725,0
2026-02-25,14:35:54.546546,109850,-0.146249998,1.098750019,-0.9375,1.155000019,57.17025,0
2026-02-25,14:35:54.546546,110939,-0.05625,0.17249999,5.253750229,0.089999998,57.1725,0
2026-02-25,14:35:54.546546,112025,-0.101250005,1.132499981,-0.858749962,1.147499943,57.1725,0
2026-02-25,14:35:54.546546,113115,-0.075,0.82125,1.151249981,0.90375,57.17025,0
2026-02-25,14:35:54.546546,114202,-0.104999995,0.667499971,3.765000153,0.611249971,57.1725,0
