SoC,R0,R1,R2,C1,C2,Tau1,Tau2,A1,A2
52.198,0.06045861493600585,0.03939559306275634,0.02768851041279231,619.6509927047499,7397.799478239204,23.30304703262137,222.10208186773676,0.3990746536442501,0.3180456370162552
52.199,0.06045790589611375,0.03939573606141181,0.027688561320876832,619.650237559822,7397.755340504425,23.303112288489867,222.1025813243442,0.39907582993367374,0.31804559900751295
52.2,0.06045719681617909,0.03939587910004107,0.027688612333288516,619.6494821224273,7397.711195161657,23.3031775733524,222.1030810015348,0.39907700604259877,0.3180455610400045
52.201,0.0604564876962104,0.0393960221786417,0.02768866345002696,619.6487263925659,7397.667042210905,23.30324288720803,222.1035808992996,0.39907818197100314,0.31804552311372764
52.202,0.060455778536216184,0.03939616529721129,0.027688714671091755,619.6479703702379,7397.622881652164,23.303308230055812,222.10408101762962,0.39907935771886494,0.3180454852286801
52.203,0.06045506933620495,0.03939630845574742,0.027688765996482505,619.647214055443,7397.578713485438,23.303373601894815,222.10458135651578,0.3990805332861621,0.3180454473848598
52.204,0.06045436009618523,0.03939645165424766,0.027688817426198796,619.6464574481814,7397.534537710725,23.303439002724094,222.1050819159491,0.3990817086728726,0.3180454095822644
52.205,0.060453650816165536,0.039396594892709594,0.02768886896024023,619.6457005484532,7397.490354328026,23.30350443254271,222.10558269592062,0.39908288387897456,0.31804537182089176
52.206,0.06045294149615437,0.039396738171130805,0.027688920598606396,619.6449433562581,7397.44616333734,23.303569891349724,222.10608369642122,0.39908405890444587,0.3180453341007397
52.207,0.06045223213616028,0.03939688148950886,0.027688972341296882,619.6441858715964,7397.401964738668,23.30363537914419,222.10658491744192,0.3990852337492645,0.3180452964218059
52.208,0.06045152273619176,0.03939702484784135,0.027689024188311286,619.6434280944679,7397.357758532009,23.30370089592517,222.1070863589737,0.39908640841340853,0.3180452587840883
52.209,0.060450813296257344,0.03939716824612584,0.027689076139649195,619.6426700248727,7397.313544717363,23.303766441691725,222.10758802100753,0.3990875828968559,0.31804522118758455
52.21,0.06045010381636554,0.039397311684359906,0.0276891281953102,619.6419116628108,7397.269323294731,23.303832016442907,222.10808990353436,0.3990887571995847,0.3180451836322925
52.211,0.06044939429652489,0.03939745516254114,0.027689180355293885,619.6411530082822,7397.225094264112,23.30389762017778,222.10859200654514,0.3990899313215728,0.31804514611820994
52.212,0.060448684736743905,0.03939759868066709,0.027689232619599845,619.6403940612868,7397.180857625507,23.30396325289539,222.1090943300308,0.3990911052627983,0.3180451086453347
52.213,0.06044797513703111,0.03939774223873536,0.02768928498822766,619.6396348218248,7397.136613378915,23.304028914594802,222.10959687398238,0.3990922790232391,0.3180450712136645
52.214,0.060447265497395035,0.0393978858367435,0.027689337461176924,619.638875289896,7397.092361524337,23.304094605275072,222.11009963839075,0.39909345260287327,0.31804503382319715
